Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
126,8/1/16 7:30,8/1/16 7:32,3211,Newark Ave,40.72152515,-74.04630454,3270,Jersey & 6th St,40.72528911,-74.04557168,24414,Customer,,0
174,8/1/16 7:31,8/1/16 7:34,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,24418,Subscriber,1984,1
309,8/1/16 7:32,8/1/16 7:38,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,24583,Subscriber,1989,1
900,8/1/16 7:33,8/1/16 7:48,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24695,Subscriber,1962,1
755,8/1/16 7:34,8/1/16 7:46,3196,Riverview Park,40.7443187,-74.0439909,3202,Newport PATH,40.7272235,-74.0337589,24614,Subscriber,1990,1
761,8/1/16 7:34,8/1/16 7:46,3207,Oakland Ave,40.7376037,-74.0524783,3186,Grove St PATH,40.71958612,-74.04311746,24496,Subscriber,1974,2
388,8/1/16 7:36,8/1/16 7:42,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24516,Subscriber,1984,1
515,8/1/16 7:36,8/1/16 7:45,3281,Leonard Gordon Park,40.74590997,-74.05727148,3195,Sip Ave,40.73074263,-74.06378388,24520,Subscriber,1990,1
294,8/1/16 7:36,8/1/16 7:41,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24492,Subscriber,1975,1
232,8/1/16 7:38,8/1/16 7:41,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24590,Subscriber,1988,2
512,8/1/16 7:39,8/1/16 7:47,3205,JC Medical Center,40.71653978,-74.04963791,3278,Monmouth and 6th,40.72568548,-74.04879034,24723,Subscriber,1971,2
429,8/1/16 7:39,8/1/16 7:46,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,24414,Subscriber,1986,2
169,8/1/16 7:40,8/1/16 7:43,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24604,Subscriber,1968,1
524,8/1/16 7:41,8/1/16 7:50,3209,Brunswick St,40.7241765,-74.0506564,3185,City Hall,40.7177325,-74.043845,24556,Subscriber,1981,2
90,8/1/16 7:42,8/1/16 7:44,3184,Paulus Hook,40.7141454,-74.0335519,3183,Exchange Place,40.7162469,-74.0334588,24683,Subscriber,1984,1
380,8/1/16 7:43,8/1/16 7:49,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24433,Subscriber,1956,1
479,8/1/16 7:43,8/1/16 7:51,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24386,Subscriber,1988,1
707,8/1/16 7:44,8/1/16 7:56,3192,Liberty Light Rail,40.7112423,-74.0557013,3184,Paulus Hook,40.7141454,-74.0335519,24457,Subscriber,1974,1
484,8/1/16 7:48,8/1/16 7:56,3215,Central Ave,40.7467299,-74.0492509,3195,Sip Ave,40.73074263,-74.06378388,24668,Subscriber,1977,1
255,8/1/16 7:49,8/1/16 7:53,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24475,Subscriber,1970,1
983,8/1/16 7:50,8/1/16 8:06,3190,Garfield Ave Station,40.71046702,-74.0700388,3214,Essex Light Rail,40.7127742,-74.0364857,24534,Subscriber,1979,1
316,8/1/16 7:50,8/1/16 7:55,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24481,Subscriber,1987,1
243,8/1/16 7:50,8/1/16 7:54,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24625,Subscriber,1981,1
310,8/1/16 7:50,8/1/16 7:55,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24643,Subscriber,1972,1
596,8/1/16 7:50,8/1/16 8:00,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24688,Subscriber,1974,1
639,8/1/16 7:51,8/1/16 8:01,3214,Essex Light Rail,40.7127742,-74.0364857,3276,Marin Light Rail,40.71458404,-74.04281706,24412,Subscriber,1958,1
180,8/1/16 7:51,8/1/16 7:54,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24444,Subscriber,1979,1
538,8/1/16 7:52,8/1/16 8:01,3279,Dixon Mills,40.72163014,-74.04996783,3202,Newport PATH,40.7272235,-74.0337589,24455,Subscriber,1988,1
214,8/1/16 7:52,8/1/16 7:56,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,24661,Subscriber,1986,2
201,8/1/16 7:54,8/1/16 7:57,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24539,Subscriber,1985,2
1382,8/1/16 7:55,8/1/16 8:18,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24572,Subscriber,1982,1
689,8/1/16 7:55,8/1/16 8:07,3187,Warren St,40.7211236,-74.03805095,3194,McGinley Square,40.72533993,-74.06762213,24454,Subscriber,1984,1
107,8/1/16 7:56,8/1/16 7:57,3185,City Hall,40.7177325,-74.043845,3213,Van Vorst Park,40.71848892,-74.04772663,24556,Subscriber,1977,1
524,8/1/16 7:56,8/1/16 8:05,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,24558,Subscriber,1969,1
2181,8/1/16 7:56,8/1/16 8:33,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,24456,Subscriber,1990,1
205,8/1/16 7:56,8/1/16 8:00,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24523,Subscriber,,0
283,8/1/16 7:57,8/1/16 8:02,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,24723,Subscriber,1982,1
332,8/1/16 7:57,8/1/16 8:03,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,24639,Subscriber,1983,2
357,8/1/16 7:57,8/1/16 8:03,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24635,Subscriber,1986,1
243,8/1/16 7:59,8/1/16 8:03,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,24449,Subscriber,1984,1
592,8/1/16 7:59,8/1/16 8:09,3209,Brunswick St,40.7241765,-74.0506564,3184,Paulus Hook,40.7141454,-74.0335519,24413,Subscriber,1994,1
444,8/1/16 7:59,8/1/16 8:06,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24626,Subscriber,1968,1
371,8/1/16 8:01,8/1/16 8:07,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24609,Subscriber,1988,2
298,8/1/16 8:01,8/1/16 8:06,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,24580,Subscriber,1970,1
520,8/1/16 8:03,8/1/16 8:11,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24528,Subscriber,1980,2
352,8/1/16 8:04,8/1/16 8:09,3205,JC Medical Center,40.71653978,-74.04963791,3214,Essex Light Rail,40.7127742,-74.0364857,24409,Subscriber,1977,1
1028,8/1/16 8:04,8/1/16 8:21,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3199,Newport Pkwy,40.7287448,-74.0321082,24662,Subscriber,1984,1
313,8/1/16 8:05,8/1/16 8:10,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24596,Subscriber,1985,1
269,8/1/16 8:05,8/1/16 8:10,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24474,Subscriber,1960,1
186,8/1/16 8:06,8/1/16 8:09,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,24482,Subscriber,1980,1
219,8/1/16 8:08,8/1/16 8:11,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24628,Subscriber,1979,1
522,8/1/16 8:08,8/1/16 8:17,3192,Liberty Light Rail,40.7112423,-74.0557013,3184,Paulus Hook,40.7141454,-74.0335519,24571,Subscriber,1967,1
368,8/1/16 8:09,8/1/16 8:15,3203,Hamilton Park,40.72759597,-74.04424731,3187,Warren St,40.7211236,-74.03805095,24497,Subscriber,1983,1
543,8/1/16 8:09,8/1/16 8:19,3186,Grove St PATH,40.71958612,-74.04311746,3202,Newport PATH,40.7272235,-74.0337589,24583,Subscriber,1983,1
697,8/1/16 8:10,8/1/16 8:22,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24687,Subscriber,1991,2
325,8/1/16 8:11,8/1/16 8:16,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24613,Subscriber,1980,1
205,8/1/16 8:11,8/1/16 8:14,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,24471,Subscriber,1981,1
355,8/1/16 8:11,8/1/16 8:17,3267,Morris Canal,40.71241882,-74.03852552,3185,City Hall,40.7177325,-74.043845,24631,Subscriber,1974,2
179,8/1/16 8:12,8/1/16 8:15,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24689,Subscriber,1986,1
247,8/1/16 8:12,8/1/16 8:16,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24395,Subscriber,1981,1
668,8/1/16 8:13,8/1/16 8:25,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,24641,Subscriber,1977,2
146,8/1/16 8:14,8/1/16 8:16,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,24608,Subscriber,1976,1
384,8/1/16 8:14,8/1/16 8:20,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24493,Subscriber,1980,1
367,8/1/16 8:15,8/1/16 8:21,3209,Brunswick St,40.7241765,-74.0506564,3185,City Hall,40.7177325,-74.043845,24480,Subscriber,1984,1
312,8/1/16 8:16,8/1/16 8:21,3267,Morris Canal,40.71241882,-74.03852552,3185,City Hall,40.7177325,-74.043845,24465,Subscriber,1983,2
355,8/1/16 8:16,8/1/16 8:22,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24633,Subscriber,1986,1
524,8/1/16 8:16,8/1/16 8:25,3214,Essex Light Rail,40.7127742,-74.0364857,3202,Newport PATH,40.7272235,-74.0337589,24484,Subscriber,1963,1
209,8/1/16 8:16,8/1/16 8:20,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24454,Subscriber,1984,1
1100,8/1/16 8:17,8/1/16 8:35,3199,Newport Pkwy,40.7287448,-74.0321082,3203,Hamilton Park,40.72759597,-74.04424731,24379,Subscriber,,0
164,8/1/16 8:17,8/1/16 8:19,3273,Manila & 1st,40.72165072,-74.04288411,3270,Jersey & 6th St,40.72528911,-74.04557168,24679,Customer,,0
298,8/1/16 8:17,8/1/16 8:22,3201,Dey St,40.737711,-74.066921,3195,Sip Ave,40.73074263,-74.06378388,24713,Subscriber,1962,1
260,8/1/16 8:17,8/1/16 8:22,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24497,Subscriber,1976,1
331,8/1/16 8:18,8/1/16 8:23,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24511,Subscriber,1985,1
231,8/1/16 8:19,8/1/16 8:23,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24500,Subscriber,1983,1
439,8/1/16 8:19,8/1/16 8:27,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24616,Subscriber,1956,2
526,8/1/16 8:20,8/1/16 8:28,3195,Sip Ave,40.73074263,-74.06378388,3211,Newark Ave,40.72152515,-74.04630454,24721,Subscriber,1962,2
370,8/1/16 8:20,8/1/16 8:26,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24560,Subscriber,1983,1
303,8/1/16 8:20,8/1/16 8:25,3195,Sip Ave,40.73074263,-74.06378388,3201,Dey St,40.737711,-74.066921,24712,Subscriber,1962,1
640,8/1/16 8:20,8/1/16 8:31,3205,JC Medical Center,40.71653978,-74.04963791,3188,NJCU,40.7101087,-74.0858489,24550,Subscriber,1963,1
271,8/1/16 8:21,8/1/16 8:25,3213,Van Vorst Park,40.71848892,-74.04772663,3185,City Hall,40.7177325,-74.043845,24556,Subscriber,1985,1
374,8/1/16 8:22,8/1/16 8:28,3267,Morris Canal,40.71241882,-74.03852552,3202,Newport PATH,40.7272235,-74.0337589,24650,Subscriber,1978,1
400,8/1/16 8:22,8/1/16 8:29,3187,Warren St,40.7211236,-74.03805095,3202,Newport PATH,40.7272235,-74.0337589,24671,Subscriber,1984,1
394,8/1/16 8:23,8/1/16 8:29,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,24683,Subscriber,1989,1
433,8/1/16 8:23,8/1/16 8:30,3273,Manila & 1st,40.72165072,-74.04288411,3184,Paulus Hook,40.7141454,-74.0335519,24667,Subscriber,1987,1
484,8/1/16 8:23,8/1/16 8:31,3203,Hamilton Park,40.72759597,-74.04424731,3187,Warren St,40.7211236,-74.03805095,24536,Subscriber,1974,1
265,8/1/16 8:23,8/1/16 8:28,3207,Oakland Ave,40.7376037,-74.0524783,3220,5 Corners Library,40.73496102,-74.05950308,24606,Subscriber,1984,1
243,8/1/16 8:24,8/1/16 8:28,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24706,Subscriber,1976,1
219,8/1/16 8:24,8/1/16 8:28,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24512,Subscriber,1984,1
200,8/1/16 8:24,8/1/16 8:28,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,24705,Subscriber,1984,1
871,8/1/16 8:24,8/1/16 8:39,3197,North St,40.752559,-74.044725,3195,Sip Ave,40.73074263,-74.06378388,24463,Subscriber,1975,1
